"PSTATABB
State abbreviation","PNAME
Plant name","OPRNAME
Plant operator name","LAT
Plant latitude","LON
Plant longitude","PLGENACL
Plant 2000 annual coal net generation (MWh)","PLGENAOL
Plant 2000 annual oil net generation (MWh)","PLGENAGS
Plant 2000 annual gas net generation (MWh)","PLGENANC
Plant 2000 annual nuclear net generation (MWh)","PLGENAHY
Plant 2000 annual hydro net generation (MWh)","PLGENABM
Plant 2000 annual biomass/ wood net generation (MWh)","PLGENAWI
Plant 2000 annual wind net generation (MWh)","PLGENASO
Plant 2000 annual solar net generation (MWh)","PLGENAGT
Plant 2000 annual geothermal net generation (MWh)","PLGENAOF
Plant 2000 annual other fossil (tires, batteries, chemicals, etc.) net generation (MWh)"
AK,FORT GREELY POWER PLANT,Fort Greely Power Plant,61.1095,149.4381,0.0,777.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GAMBELL,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,1968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GEORGE M SULLIVAN,Municipality of Anchorage,61.1095,149.4381,0.0,157.0,881927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GLENNALLEN,Copper Valley Elec Assn Inc,61.4602,144.9163,0.0,16413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GOAT LAKE HYDRO,Alaska Power Co,N/A,N/A,0.0,0.0,0.0,0.0,19201.0,0.0,0.0,0.0,0.0,0.0
AK,GOLD CREEK,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,175.0,0.0,0.0,5355.0,0.0,0.0,0.0,0.0,0.0
AK,GOODNEWS BAY,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GRANITE POINT PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,1479.1,9821.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GRAYLING,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GRAYLING PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,0.0,15522.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,GREEN LAKE,Sitka City of & Borough of,N/A,N/A,0.0,0.0,0.0,0.0,50774.0,0.0,0.0,0.0,0.0,0.0
AK,GWITCHYAA ZHEE,Gwitchyaa Zhee Utility Co,65.2014,151.0227,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HAINES,Alaska Power Co,58.9284,135.4073,0.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HEALY,Golden Valley Elec Assn Inc,63.9360,150.1263,184901.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HEALY LAKE,Alaska Power Co,64.8557,146.2789,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HOLLIS,Alaska Power Co,55.5135,132.0062,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HOLY CROSS,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HOOPER BAY,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,2358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HUSLIA,Alaska Village Elec Coop Inc,64.8557,146.2789,0.0,829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,HYDABURG,Alaska Power Co,55.5135,132.0062,0.0,1458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,I-N-N ELECTRIC,I-N-N Electric Coop Inc,N/A,N/A,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,INDIAN RIVER,Sitka City of & Borough of,N/A,N/A,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,INTERNATIONAL,Chugach Electric Assn Inc,61.1095,149.4381,0.0,0.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KALTAG,Alaska Village Elec Coop Inc,N/A,N/A,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KETCHIKAN,Ketchikan City of,55.5426,131.4359,0.0,0.0,0.0,0.0,23215.0,0.0,0.0,0.0,0.0,0.0
AK,KIANA,Alaska Village Elec Coop Inc,N/A,N/A,0.0,1334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KING COVE,Peter Pan Seafoods,55.6440,161.9602,0.0,8649.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KIVALINA,Alaska Village Elec Coop Inc,N/A,N/A,0.0,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KODIAK,Kodiak Electric Assn Inc,57.5771,153.3139,0.0,7773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KOTZEBUE,Kotzebue Electric Assn Inc,66.8575,159.8516,0.0,21520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,KOYUK,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,LEMON CREEK,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,1866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,LISBURNE PRODUCTION CENTER,BP Amoco,69.7020,153.9798,0.0,1136.8,138532.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,LOWER KALSKAG,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MARSHALL,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MCGRATH,McGrath Light & Power Co,65.2014,151.0227,0.0,3238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MEKORYUK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MENTASTA,Alaska Power Co,64.8557,146.2789,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MINTO,Alaska Village Elec Coop Inc,64.8557,146.2789,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MONOPOD PLATFORM,Union Oil Co of California,60.0656,151.6719,0.0,0.0,2625.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,MOUNTAIN VILLAGE,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,2435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NAKNEK,Naknek Electric Assn Inc,58.7557,157.1512,0.0,20525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NAUKATI,Alaska Power Co,55.5135,132.0062,0.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NEW STUYAHOK,Alaska Village Elec Coop Inc,58.2710,156.6659,0.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NOATAK,Alaska Village Elec Coop Inc,N/A,N/A,0.0,1312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NOORVIK,Alaska Village Elec Coop Inc,N/A,N/A,0.0,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NORTH POLE,Golden Valley Elec Assn Inc,64.8557,146.2789,0.0,335913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NORTHWAY,Alaska Power Co,N/A,N/A,0.0,1704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NULATO,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,NUNAPITCHUK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,OFFSHORE SYSTEMS INC,Offshore Systems Inc,51.9961,175.5654,0.0,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,OLD HARBOR,Alaska Village Elec Coop Inc,57.5771,153.3139,0.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,PELICAN,Pelican Utility District,58.6026,136.6848,0.0,250.0,0.0,0.0,1975.0,0.0,0.0,0.0,0.0,0.0
AK,PETERSBURG,Petersburg City of,56.5405,132.8194,0.0,936.0,0.0,0.0,14217.0,0.0,0.0,0.0,0.0,0.0
AK,PILOT STATION,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,PORT LIONS,Kodiak Electric Assn Inc,57.5771,153.3139,0.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,PURPLE LAKE,Metlakatla Power & Light,55.5426,131.4359,0.0,0.0,0.0,0.0,13982.0,0.0,0.0,0.0,0.0,0.0
AK,QUINHAGAK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,RUSSIAN MISSION,Alaska Village Elec Coop Inc,65.2014,151.0227,0.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,S W BAILEY,Ketchikan City of,55.5426,131.4359,0.0,7998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SALMON CREEK 1,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,0.0,0.0,0.0,13168.0,0.0,0.0,0.0,0.0,0.0
AK,SALMON CREEK 2,Alaska Electric Light&Power Co,58.3849,134.1888,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0
AK,SAVOONGA,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SCAMMON BAY,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SEAWATER TREATMENT PLANT,Phillips Alaska Inc,69.7020,153.9798,0.0,0.0,270.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SELAWIK,Alaska Village Elec Coop Inc,N/A,N/A,0.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SELDOVIA,Homer Electric Assn Inc,60.0656,151.6719,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SHAGELUK,Alaska Village Elec Coop Inc,60.2992,159.7343,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,SHAKTOOLIK,Alaska Village Elec Coop Inc,64.8202,163.7929,0.0,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
